# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
146400 18310 0 18290 1 319 349
146800 18355 0 18345 1 319 349
147200 18404 0 18396 1 319 349
147600 18456 0 18444 1 319 349
148000 18509 0 18491 1 319 349
148400 18556 0 18544 1 319 349
148800 18608 0 18592 1 319 349
149200 18648 0 18652 1 319 349
149600 18704 0 18696 1 319 349
150000 18760 0 18740 1 319 349
150400 18800 0 18800 1 319 349
150800 18850 0 18850 1 319 349
151200 18895 0 18905 1 319 349
151600 18948 0 18952 1 319 349
152000 19004 0 18996 1 319 349
152400 19059 0 19041 1 319 349
152800 19104 0 19096 1 319 349
153200 19154 0 19146 1 319 349
153600 19204 0 19196 1 319 349
154000 19253 0 19247 1 319 349
154400 19299 0 19301 1 319 349
154800 19349 0 19351 1 319 349
155200 19404 0 19396 1 319 349
155600 19453 0 19447 1 319 349
156000 19501 0 19499 1 319 349
156400 19551 0 19549 1 319 349
156800 19597 0 19603 1 319 349
157200 19645 0 19655 1 319 349
157600 19702 0 19698 1 319 349
158000 19751 0 19749 1 319 349
158400 19804 0 19796 1 319 349
158800 19854 0 19846 1 319 349
159200 19897 0 19903 1 319 349
159600 19942 0 19958 1 319 349
160000 19997 0 20003 1 319 349
160400 20051 0 20049 1 319 349
160800 20104 0 20096 1 319 349
161200 20148 0 20152 1 319 349
161600 20195 0 20205 1 319 349
162000 20232 0 20268 1 319 349
162400 20283 0 20317 1 319 349
162800 20337 0 20363 1 319 349
163200 20380 0 20420 1 319 349
163600 20434 0 20466 1 319 349
164000 20482 0 20518 1 319 349
164400 20529 0 20571 1 319 349
164800 20595 0 20605 1 319 349
165200 20643 0 20657 1 319 349
165600 20691 0 20709 1 319 349
166000 20732 0 20768 1 319 349
166400 20780 0 20820 1 319 349
166800 20836 0 20864 1 319 349
167200 20889 0 20911 1 319 349
167600 20941 0 20959 1 319 349
168000 20988 0 21012 1 319 349
168400 21040 0 21060 1 319 349
168800 21093 0 21107 1 319 349
169200 21140 0 21160 1 319 349
169600 21190 0 21210 1 319 349
170000 21243 0 21257 1 319 349
170400 21301 0 21299 1 319 349
170800 21345 0 21355 1 319 349
171200 21396 0 21404 1 319 349
171600 21442 0 21458 1 319 349
172000 21491 0 21509 1 319 349
172400 21545 0 21555 1 319 349
172800 21590 0 21610 1 319 349
173200 21641 0 21659 1 319 349
173600 21690 0 21710 1 319 349
174000 21741 0 21759 1 319 349
174400 21785 0 21815 1 319 349
174800 21847 0 21853 1 319 349
175200 21895 0 21905 1 319 349
175600 21943 0 21957 1 319 349
176000 21996 0 22004 1 319 349
176400 22045 0 22055 1 319 349
176800 22091 0 22109 1 319 349
177200 22137 0 22163 1 319 349
177600 22190 0 22210 1 319 349
178000 22241 0 22259 1 319 349
178400 22289 0 22311 1 319 349
178800 22343 0 22357 1 319 349
179200 22394 0 22406 1 319 349
179600 22447 0 22453 1 319 349
180000 22503 0 22497 1 319 349
180400 22553 0 22547 1 319 349
180800 22616 0 22584 1 319 349
181200 22666 0 22634 1 319 349
