# Time-averaged data for fix cgcmcstat
# TimeStep v_ciatt v_ciacc v_cdatt v_cdacc v_nco2 v_nmob
185600 23339 2 23061 9 23 343
186000 23387 2 23113 9 23 343
186400 23443 2 23157 9 23 343
186800 23493 2 23207 9 23 343
187200 23541 2 23259 9 23 343
187600 23586 2 23314 9 23 343
188000 23634 2 23366 9 23 343
188400 23683 2 23417 9 23 343
188800 23727 2 23473 9 23 343
189200 23779 2 23521 9 23 343
189600 23832 2 23568 9 23 343
190000 23884 2 23616 9 23 343
190400 23930 2 23670 9 23 343
190800 23971 2 23729 9 23 343
191200 24013 2 23787 9 23 343
191600 24057 2 23843 9 23 343
192000 24103 2 23897 9 23 343
192400 24154 2 23946 9 23 343
192800 24201 2 23999 9 23 343
193200 24249 2 24051 9 23 343
193600 24287 2 24113 9 23 343
194000 24337 2 24163 9 23 343
194400 24385 2 24215 9 23 343
194800 24433 2 24267 9 23 343
195200 24492 2 24308 9 23 343
195600 24546 2 24354 9 23 343
196000 24592 2 24408 9 23 343
196400 24642 2 24458 9 23 343
196800 24699 2 24501 9 23 343
197200 24747 2 24553 9 23 343
197600 24801 2 24599 9 23 343
198000 24852 2 24648 9 23 343
198400 24893 2 24707 9 23 343
198800 24943 2 24757 9 23 343
199200 24989 2 24811 9 23 343
199600 25034 2 24866 9 23 343
200000 25082 2 24918 9 23 343
200400 25130 2 24970 9 23 343
200800 25185 2 25015 9 23 343
201200 25226 2 25074 9 23 343
201600 25272 2 25128 9 23 343
202000 25319 2 25181 9 23 343
202400 25380 2 25220 9 23 343
202800 25430 2 25270 9 23 343
203200 25483 2 25317 9 23 343
203600 25530 2 25370 9 23 343
204000 25579 2 25421 9 23 343
204400 25629 2 25471 9 23 343
204800 25690 2 25510 9 23 343
205200 25740 2 25560 9 23 343
205600 25792 2 25608 9 23 343
206000 25843 2 25657 9 23 343
206400 25890 2 25710 10 22 342
206800 25937 2 25763 10 22 342
207200 25993 2 25807 10 22 342
207600 26051 2 25849 10 22 342
208000 26099 2 25901 10 22 342
208400 26153 2 25947 10 22 342
208800 26197 2 26003 10 22 342
209200 26248 2 26052 10 22 342
209600 26292 2 26108 10 22 342
210000 26351 2 26149 10 22 342
