# Time-averaged data for fix agcmcstat
# TimeStep v_wiatt v_wiacc v_wdatt v_wdacc v_nacn v_nmob
190800 24035 0 23665 0 320 343
191200 24085 0 23715 0 320 343
191600 24129 0 23771 0 320 343
192000 24183 0 23817 0 320 343
192400 24230 0 23870 0 320 343
192800 24274 0 23926 0 320 343
193200 24329 0 23971 0 320 343
193600 24373 0 24027 0 320 343
194000 24422 0 24078 0 320 343
194400 24476 0 24124 0 320 343
194800 24520 0 24180 0 320 343
195200 24571 0 24229 0 320 343
195600 24624 0 24276 0 320 343
196000 24675 0 24325 0 320 343
196400 24725 0 24375 0 320 343
196800 24781 0 24419 0 320 343
197200 24829 0 24471 0 320 343
197600 24876 0 24524 0 320 343
198000 24926 0 24574 0 320 343
198400 24979 0 24621 0 320 343
198800 25024 0 24676 0 320 343
199200 25071 0 24729 0 320 343
199600 25122 0 24778 0 320 343
200000 25171 0 24829 0 320 343
200400 25222 0 24878 0 320 343
200800 25271 0 24929 0 320 343
201200 25325 0 24975 0 320 343
201600 25379 0 25021 0 320 343
202000 25424 0 25076 0 320 343
202400 25473 0 25127 0 320 343
202800 25521 0 25179 0 320 343
203200 25580 0 25220 0 320 343
203600 25625 0 25275 0 320 343
204000 25672 0 25328 0 320 343
204400 25725 0 25375 0 320 343
204800 25773 0 25427 0 320 343
205200 25828 0 25472 0 320 343
205600 25872 0 25528 0 320 343
206000 25918 0 25582 0 320 343
206400 25979 0 25621 0 320 342
206800 26039 0 25661 0 320 342
207200 26085 0 25715 0 320 342
207600 26138 0 25762 0 320 342
208000 26185 0 25815 0 320 342
208400 26236 0 25864 0 320 342
208800 26287 0 25913 0 320 342
209200 26338 0 25962 0 320 342
209600 26396 0 26004 0 320 342
210000 26453 0 26047 0 320 342
210400 26502 0 26098 0 320 342
210800 26552 0 26148 0 320 342
211200 26598 0 26202 0 320 342
211600 26649 0 26251 0 320 342
212000 26698 0 26302 0 320 342
212400 26737 0 26363 0 320 342
212800 26787 0 26413 0 320 342
213200 26836 0 26464 0 320 342
213600 26894 0 26506 0 320 342
214000 26948 0 26552 0 320 342
214400 27008 0 26592 0 320 342
214800 27056 0 26644 0 320 342
215200 27098 0 26702 0 320 342
215600 27150 0 26750 0 320 342
216000 27198 0 26802 0 320 342
216400 27245 0 26855 0 320 342
216800 27302 0 26898 0 320 342
217200 27343 0 26957 0 320 342
217600 27396 0 27004 0 320 342
218000 27455 0 27045 0 320 342
218400 27506 0 27094 0 320 342
218800 27562 0 27138 0 320 342
219200 27617 0 27183 0 320 342
219600 27662 0 27238 0 320 342
220000 27713 0 27287 0 320 342
220400 27762 0 27338 0 320 342
220800 27806 0 27394 0 320 342
221200 27848 0 27452 0 320 342
221600 27899 0 27501 0 320 342
222000 27946 0 27554 0 320 342
222400 27991 0 27609 0 320 342
222800 28044 0 27656 0 320 342
223200 28094 0 27706 0 320 342
223600 28146 0 27754 0 320 342
224000 28197 0 27803 0 320 342
224400 28241 0 27859 0 320 342
224800 28289 0 27911 0 320 342
225200 28344 0 27956 0 320 342
225600 28401 0 27999 0 320 342
226000 28448 0 28052 0 320 342
226400 28496 0 28104 0 320 342
226800 28548 0 28152 0 320 342
